Name;Currency;Ask;Open;PreviousClose;PercentChange;PriceBook;Change;DaysHigh;DaysLow;EarningsShare;AfterHoursChangeRealtime;AnnualizedGain;Ask;AskRealtime;AverageDailyVolume;Bid;BidRealtime;BookValue;Change;ChangeFromFiftydayMovingAverage;ChangeFromTwoHundreddayMovingAverage;ChangeFromYearHigh;ChangeFromYearLow;ChangePercentRealtime;ChangeRealtime;Change_PercentChange;ChangeinPercent;Commission;Currency;DaysHigh;DaysLow;DaysRange;DaysRangeRealtime;DaysValueChange;DaysValueChangeRealtime;DividendPayDate;DividendShare;DividendYield;EBITDA;EPSEstimateCurrentYear;EPSEstimateNextQuarter;EPSEstimateNextYear;EarningsShare;ErrorIndicationreturnedforsymbolchangedinvalid;ExDividendDate;FiftydayMovingAverage;HighLimit;HoldingsGain;HoldingsGainPercent;HoldingsGainPercentRealtime;HoldingsGainRealtime;HoldingsValue;HoldingsValueRealtime;LastTradeDate;LastTradePriceOnly;LastTradeRealtimeWithTime;LastTradeTime;LastTradeWithTime;LowLimit;MarketCapRealtime;MarketCapitalization;MoreInfo;Name;Notes;OneyrTargetPrice;Open;OrderBookRealtime;PEGRatio;PERatio;PERatioRealtime;PercebtChangeFromYearHigh;PercentChange;PercentChangeFromFiftydayMovingAverage;PercentChangeFromTwoHundreddayMovingAverage;PercentChangeFromYearLow;PreviousClose;PriceBook;PriceEPSEstimateCurrentYear;PriceEPSEstimateNextYear;PricePaid;PriceSales;SharesOwned;ShortRatio;StockExchange;Symbol;TickerTrend;TradeDate;TwoHundreddayMovingAverage;Volume;YearHigh;YearLow;YearRange;symbol
ZHEJIANGEXPRESS;HKD;;9.620;9.650;-3.109%;14.170;-0.300;9.660;9.350;0.810;;;;;2579410;;;0.681;-0.300;-0.459;-0.425;-1.190;2.330;;;-0.300 - -3.109%;-3.109%;;HKD;9.660;9.350;9.350 - 9.660;;;;;0.394;4.040;985.66M;0.720;0.000;;0.810;;5/22/2017;9.809;;;;;;;;11/1/2017;9.350;;4:08pm;4:08pm - <b>9.350</b>;;;13.41B;;ZHEJIANGEXPRESS;;;9.620;;0.000;12.030;;-11.290%;-3.109%;-4.679%;-4.347%;+33.191%;9.650;14.170;;;;9.415;;0.000;HKG;0576.HK;;;9.775;5705702;10.540;7.020;7.020 - 10.540;0576.HK
BNN TECHNOLOGY PLC LS-,10;EUR;;0.444;0.444;+0.000%;1.563;+0.000;;;-0.167;;;;;852;;;0.284;+0.000;0.000;-0.207;-1.443;0.002;;;+0.000 - +0.000%;+0.000%;;EUR;;;;;;;;;;-30.08M;;0.000;;-0.167;;;0.444;;;;;;;;9/4/2017;0.444;;7:19am;7:19am - <b>0.444</b>;;;105.94M;;BNN TECHNOLOGY PLC LS-,10;;;0.444;;0.000;;;-76.471%;+0.000%;+0.000%;-31.817%;+0.452%;0.444;1.563;;;;13.046;;0.000;FRA;0DJ.F;;;0.651;600;1.887;0.442;0.442 - 1.887;0DJ.F
KOOVS PLC  LS -,01;EUR;0.315;0.245;0.237;+3.376%;1.481;+0.008;0.245;0.245;-0.172;;;0.315;;215;0.265;;0.160;+0.008;-0.022;-0.129;-0.503;0.017;;;+0.008 - +3.376%;+3.376%;;EUR;0.245;0.245;0.245 - 0.245;;;;;;;-26.21M;;0.000;;-0.172;;;0.267;;;;;;;;11/1/2017;0.245;;8:16am;8:16am - <b>0.245</b>;;;42.97M;;KOOVS PLC  LS -,01;;;0.245;;0.000;;;-67.246%;+3.376%;-8.141%;-34.453%;+7.456%;0.237;1.481;;;;3.561;;0.000;FRA;0KV.F;;;0.374;2000;0.748;0.228;0.228 - 0.748;0KV.F
FDM GROUP HLDGS  LS -,01;EUR;11.514;10.944;10.986;-0.382%;15.258;-0.042;10.944;10.944;0.361;;;11.514;;;10.966;;0.720;-0.042;0.123;1.424;-0.328;4.896;;;-0.042 - -0.382%;-0.382%;;EUR;10.944;10.944;10.944 - 10.944;;;;;;;54.94M;;0.000;;0.361;;8/24/2017;10.821;;;;;;;;11/1/2017;10.944;;8:16am;8:16am - <b>10.944</b>;;;1.18B;;FDM GROUP HLDGS  LS -,01;;;10.944;;0.000;30.316;;-2.910%;-0.382%;+1.132%;+14.957%;+80.952%;10.986;15.258;;;;4.088;;0.000;FRA;17F.F;;;9.520;30;11.272;6.048;6.048 - 11.272;17F.F
Strategic Minerals PLC Register;EUR;0.042;0.005;0.006;-16.667%;2.000;-0.001;0.005;0.005;0.001;;;0.042;;;0.005;;0.003;-0.001;0.000;-0.000;-0.035;0.004;;;-0.001 - -16.667%;-16.667%;;EUR;0.005;0.005;0.005 - 0.005;;;;;;;375999.00;;0.000;;0.001;;;0.005;;;;;;;;11/1/2017;0.005;;8:38am;8:38am - <b>0.005</b>;;;6.23M;;Strategic Minerals PLC Register;;;0.005;;0.000;5.000;;-87.500%;-16.667%;+2.941%;-2.490%;+400.000%;0.006;2.000;;;;3.069;;0.000;STU;24S.SG;;;0.005;;0.040;0.001;0.001 - 0.040;24S.SG
IBSTOCK PLC  LS -,01;EUR;2.908;2.787;2.796;-0.322%;2.214;-0.009;2.787;2.787;0.291;;;2.908;;;2.826;;1.263;-0.009;0.119;0.088;-0.158;0.928;;;-0.009 - -0.322%;-0.322%;;EUR;2.787;2.787;2.787 - 2.787;;;;;;;152.87M;;0.000;;0.291;;8/17/2017;2.668;;;;;;;;11/1/2017;2.787;;8:21am;8:21am - <b>2.787</b>;;;1.13B;;IBSTOCK PLC  LS -,01;;;2.787;;0.000;9.577;;-5.365%;-0.322%;+4.448%;+3.256%;+49.919%;2.796;2.214;;;;1.911;;0.000;FRA;2I5.F;;;2.699;650;2.945;1.859;1.859 - 2.945;2I5.F
MySale Group PLC Registered Sha;EUR;1.369;1.325;1.324;+0.076%;3.310;+0.001;1.325;1.325;-0.005;;;1.369;;22;1.307;;0.400;+0.001;0.113;0.161;-0.050;0.345;;;+0.001 - +0.076%;+0.076%;;EUR;1.325;1.325;1.325 - 1.325;;;;;;;1.81M;;0.000;;-0.005;;;1.212;;;;;;;;11/1/2017;1.325;;8:38am;8:38am - <b>1.325</b>;;;200.51M;;MySale Group PLC Registered Sha;;;1.325;;0.000;;;-3.636%;+0.076%;+9.326%;+13.836%;+35.204%;1.324;3.310;;;;0.927;;0.000;STU;2MY.SG;;;1.164;;1.375;0.980;0.980 - 1.375;2MY.SG
MUCKLOW (A & J) GROUP PLC 7% CU;GBp;;104.00;104.50;+0.00%;;+0.00;104.50;104.00;0.38;;;;;4;;;0.00;+0.00;-12.77;-3.36;-13.50;4.50;;;+0.00 - +0.00%;+0.00%;;GBp;104.50;104.00;104.00 - 104.50;;;;;;;0.00;;0.00;;0.38;;12/1/2016;117.27;;;;;;;;4/6/2017;104.50;;10:13am;10:13am - <b>104.50</b>;;;;;MUCKLOW (A & J) GROUP PLC 7% CU;;;104.00;;0.00;;;-11.44%;+0.00%;-10.89%;-3.12%;+4.50%;104.50;;;;;;;0.00;LSE;37HR.L;;;107.86;12000;118.00;100.00;100.00 - 118.00;37HR.L
GREENCOAT UK WIND LS -,01;EUR;1.430;1.364;1.366;+1.171%;;+0.016;1.382;1.364;;;;1.430;;;1.373;;0.000;+0.016;1.382;1.382;-0.254;0.165;;;+0.016 - +1.171%;+1.171%;;EUR;1.382;1.364;1.364 - 1.382;;;;;;;0.00;;0.000;;;;;0.000;;;;;;;;11/1/2017;1.382;;2:00pm;2:00pm - <b>1.382</b>;;;;;GREENCOAT UK WIND LS -,01;;;1.364;;0.000;;;-15.542%;+1.171%;+inf%;+inf%;+13.558%;1.366;;;;;;;0.000;FRA;3GC.F;;;0.000;775;1.636;1.217;1.217 - 1.636;3GC.F
MANX FINL GRP PLC;EUR;0.127;0.101;0.102;-0.980%;0.564;-0.001;0.101;0.101;0.013;;;0.127;;;0.086;;0.181;-0.001;0.004;0.009;-0.010;0.049;;;-0.001 - -0.980%;-0.980%;;EUR;0.101;0.101;0.101 - 0.101;;;;;;;0.00;;0.000;;0.013;;;0.097;;;;;;;;11/1/2017;0.101;;8:20am;8:20am - <b>0.101</b>;;;10.31M;;MANX FINL GRP PLC;;;0.101;;0.000;7.769;;-9.009%;-0.980%;+3.872%;+9.536%;+94.231%;0.102;0.564;;;;0.703;;0.000;FRA;3IM.F;;;0.092;2000;0.111;0.052;0.052 - 0.111;3IM.F
